id,name,street,postcode,city,province,lat,lon,osm_id,osm_url,opening_hours,source
jti-xtanco-027,Estanco,Altamira 24,48013,Bilbao,Bizkaia,43.262128,-2.962774,node/11812821553,https://www.openstreetmap.org/node/11812821553,Mo-Fr 10:00-14:00,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-028,Estanco,Juan de la Cosa kalea,48004,Bilbao,Bizkaia,43.251707,-2.914448,node/4232084609,https://www.openstreetmap.org/node/4232084609,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-029,Tabako denda,Paskual Abaroa etorbidea,48280,Lekeitio,Bizkaia,43.36534,-2.503423,node/11645057374,https://www.openstreetmap.org/node/11645057374,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-030,Estanco Sancho,Calle Pablo Casals 17,09007,Burgos,Burgos,42.353718,-3.664677,node/6775395956,https://www.openstreetmap.org/node/6775395956,"Mo-Fr 09:00-14:00,17:00-20:00; Sa 09:00-14:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-031,Cava de Puros Eduardo,Calle del Marqués de la Hermida 64,39009,Santander,Cantabria,43.452977,-3.822915,node/2592647612,https://www.openstreetmap.org/node/2592647612,"Mo-Fr 10:00-14:00,17:00-20:00; Sa 10:00-14:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-032,Estanco Castellón Nº 6,Avinguda de la Mare de Déu del Lledó 2,12003,Castellón de la Plana,Castellón,39.989009,-0.033917,node/1967679740,https://www.openstreetmap.org/node/1967679740,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-033,Expendeduría número 5,Calle Francisco García Pavón 116,13700,Tomelloso,Ciudad Real,39.154764,-3.029553,node/5344507491,https://www.openstreetmap.org/node/5344507491,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-034,Estanco Tabacalera - Encabo Martín Paula,Plaza de España 1,10460,Losar de la Vera,Cáceres,40.121073,-5.603709,node/10709221471,https://www.openstreetmap.org/node/10709221471,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-035,Estanco Avda de Huelva,Avenida de Huelva 92,11540,Sanlúcar de Barrameda,Cádiz,36.792773,-6.336905,node/14137024601,https://www.openstreetmap.org/node/14137024601,"Mo-Fr 08:30-14:00, 18:00-21:00; Sa 08:30-14:00; Su 10:00-14:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-036,TABACOS,Plaza de San Francisco 1,11004,Cádiz,Cádiz,36.534344,-6.295924,node/7993343421,https://www.openstreetmap.org/node/7993343421,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-037,Estanco San Bernardo,Avenida Menéndez Pelayo 43,11300,La Línea de la Concepción,Cádiz,36.166581,-5.342433,node/12880547936,https://www.openstreetmap.org/node/12880547936,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-038,Espejo Blancas,"Espejo Blancas, 14006 1",14006,Córdoba,Córdoba,37.898221,-4.779174,node/9792283013,https://www.openstreetmap.org/node/9792283013,"Mo-Fr 08:00-21:00; Sa, Su 09:00-14:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-039,Estanco La Habana,Calle Mercado 4,14270,Hinojosa del Duque,Córdoba,38.499908,-5.144703,node/12964554739,https://www.openstreetmap.org/node/12964554739,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-040,Exp. N. 3,Isasi kalea 20,20600,Eibar,Gipuzkoa,43.183819,-2.474994,node/11219403044,https://www.openstreetmap.org/node/11219403044,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-041,Pagola Estanco,Txirrita kalea 10,20120,Hernani,Gipuzkoa,43.267452,-1.975892,node/1506183566,https://www.openstreetmap.org/node/1506183566,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-042,Estanc Santa Eugènia,Carrer de Santa Eugènia 169,17006,Girona,Girona,41.976752,2.803492,node/4737138222,https://www.openstreetmap.org/node/4737138222,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-043,Tabacs,GI-522 Carretera d'Olot a Castellfollit 45,17857,Sant Joan les Fonts,Girona,42.212354,2.512097,node/14142770193,https://www.openstreetmap.org/node/14142770193,"Mo-Fr 09:00-13:30,17:00-20:30",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-044,El Estanco de Ramiro,Calle Granada,18220,Albolote,Granada,37.229284,-3.655349,node/5983896392,https://www.openstreetmap.org/node/5983896392,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-045,Estanco Sebastián Pinteño,Avenida de Don Nicasio Tomás,18840,Galera,Granada,37.743804,-2.551325,node/4903705500,https://www.openstreetmap.org/node/4903705500,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-046,Estanco Los Milagros,Barriada de los Milagros,21810,Palos de la Frontera,Huelva,37.221701,-6.890555,node/6919853005,https://www.openstreetmap.org/node/6919853005,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
